Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Month,Age,TotalAmountSpent,TotalPurchasesMade,TotalAcceptedCampaigns,WebEngagementRatio,FamilySize,IncomePerMember,RecencyMonths,CustomerLoyalty,TimeSinceEnrollment,InteractionWithPromotions
1957,0,0,58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,9,67,1617,22,1,0.875,0,58138.0,1.9053876478318001,1,4165,4
1954,0,0,46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,3,70,27,4,0,5.0,2,15448.0,1.2483574244415243,1,3615,2
1965,0,1,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,8,59,776,20,0,0.5,0,71613.0,0.8541392904073587,1,3814,1
1984,0,1,26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2,40,53,6,0,3.0,1,13323.0,0.8541392904073587,1,3641,2
1981,1,2,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,43,422,14,0,1.0,1,29146.5,3.088042049934297,1,3663,5
1967,2,1,62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,9,57,716,20,0,1.0,1,31256.5,0.5256241787122208,1,3795,2
1971,0,3,55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,11,53,590,17,0,0.8571428571428571,1,27817.5,1.1169513797634691,1,4095,4
1985,1,2,33454,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,5,39,169,8,0,2.0,1,16727.0,1.0512483574244416,1,3919,2
1974,1,1,30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,6,50,46,5,1,3.0,1,15175.5,0.6241787122207622,1,3890,2
1950,1,1,5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,3,74,49,1,1,20.0,2,1882.6666666666667,2.2339027595269383,1,3610,2
1983,0,2,52247,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,41,19,3,0,7.0,1,26123.5,0.36136662286465177,1,3728,1
1976,3,2,7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,11,48,61,5,0,4.0,0,7500.0,1.938239159001314,1,4095,1
1959,0,3,63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,11,65,1102,15,0,0.6666666666666666,0,63033.0,2.6938239159001314,1,3728,1
1952,2,3,59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,11,72,310,12,0,1.0,2,19784.666666666668,1.7411300919842312,1,3728,3
